INDEX,DATE,YEAR,MONTH,ACP1,ACP2,ACP3,ACP4,ACP5,ACP6,ACP7,ACP8,ACP9,ACP10,ACP11,ACP12,ACP13,ACP14,ACP15,ACP16,ACP17,ACP18,ACP19,ACP20,ACP21,ACP22,ACP23,ACP24,ACP25
65,199705,1997,05,16604.16167,5088.54,9052.078333,3531.251667,3234.375,6338.543333,6822.916667,1932.291667,9322.916667,4859.373333,5432.288333,4296.875,7968.75,3666.666667,5510.416667,4744.791667,2114.583333,1812.498333,562.5,1088.541667,3213.541667,5656.25,1395.831667,953.125,557.2916667
66,199706,1997,06,18322.915,3109.375,8859.378333,6302.081667,5760.416667,6963.545,6223.956667,2750,15171.87833,7713.54,12208.33,5656.248333,12723.955,3557.291667,3401.041667,1036.458333,3812.498333,7270.835,958.3333333,442.7083333,4703.123333,10546.875,3963.541667,1625,2223.958333
67,199707,1997,07,12011.09032,1658.266129,5761.085484,3729.83871,2797.379032,5065.527419,3649.191935,544.3548387,10761.09516,5670.364516,6219.754839,2641.129032,9112.901613,3044.354839,1048.387097,161.2903226,2237.901613,1708.669355,413.3064516,181.4516129,2338.709677,2822.580645,1890.120968,1023.185484,1461.693548
68,199708,1997,08,11522.18226,841.733871,6300.398387,3387.096774,4259.072581,2560.483871,3351.814516,1340.725806,9632.045161,3941.530645,3760.079032,2842.741935,10882.04355,1940.524194,1925.403226,1209.677419,1335.685484,3790.324194,660.2822581,30.24193548,1648.185484,3583.669355,1129.032258,695.5645161,786.2903226
69,199709,1997,09,25991.37414,1460.12931,7031.248276,3890.086207,3001.077586,3626.082759,4983.836207,447.1982759,13119.61207,2974.137931,3890.086207,3216.594828,10393.32414,2451.508621,1594.827586,425.6465517,7295.258621,4924.57069,1454.741379,1373.922414,1217.672414,7828.662069,5549.568966,2860.991379,5635.777586
70,199710,1997,10,21144.15645,2121.975806,15892.14194,5060.487097,3936.48871,6053.424194,9007.054839,1381.046774,15645.15645,3296.370968,13397.18065,4117.943548,22540.31613,2666.330645,2928.427419,1824.596774,5645.162903,3417.33871,267.1370968,201.6129032,2827.620968,3306.45,5745.970968,3760.080645,5992.945161
71,199711,1997,11,15996.77241,3238.146552,1804.956897,9579.741379,10867.46034,6891.158621,5070.043103,10474.13276,9536.641379,4703.663793,16185.34483,3168.103448,14256.46724,8017.241379,5447.198276,1104.525862,8405.174138,7952.587931,4251.077586,3448.275862,4870.689655,22909.48621,14326.5069,8615.296552,10818.97241
72,199712,1997,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,199801,1998,01,50.40322581,10.08064516,0,5.040322581,1330.645161,0,0,45.36290323,105.8467742,5.040322581,0,0,0,0,0,0,30.24193548,3785.282258,1411.290323,1345.766129,2469.76129,9884.070968,8936.490323,7777.222581,0
74,199802,1998,02,549.5689655,10.77586207,0,5.387931034,5.387931034,0,0,21.55172414,5.387931034,37.71551724,0,0,0,0,0,0,0,0,0,37.71551724,457.9724138,16.1637931,845.9034483,813.5793103,193.9655172
75,199803,1998,03,22553.88276,9105.601724,7128.227586,0,5.387931034,0,2559.267241,5.387931034,1993.532759,2306.032759,1885.775862,1104.524138,1287.718966,0,0,0,7914.872414,0,1535.560345,2629.310345,6320.036207,21901.94138,7866.37069,8432.105172,3970.905172
76,199804,1998,04,17671.88,2630.208333,10098.965,3625.001667,4062.5,2364.583333,6213.543333,4536.46,5203.126667,1723.956667,2916.663333,2911.456667,4541.67,1479.165,1229.165,187.5,7020.841667,1906.25,604.1666667,765.625,3177.083333,11052.095,4359.375,3187.501667,1369.791667
77,199805,1998,05,13044.36129,2681.451613,6693.53871,2958.669355,5549.395161,5025.201613,8039.316129,6683.466129,10347.77742,2666.330645,4732.862903,5710.685484,13472.77742,2903.225806,3699.595161,584.6774194,9758.06129,5176.404839,453.6290323,730.8467742,1587.701613,7661.290323,1663.306452,1270.16129,2137.096774
78,199806,1998,06,20911.46667,4171.875,11468.75833,3083.333333,2927.083333,4338.543333,5593.748333,4786.46,9802.078333,6333.328333,5812.498333,3385.42,13494.78833,1531.25,2848.958333,3208.333333,6687.5,2536.456667,984.375,1588.541667,2244.791667,9083.335,2067.706667,1515.625,4791.663333
79,199807,1998,07,12147.17581,2787.298387,8840.733871,4375,3407.258065,1123.991935,4863.912903,987.9032258,4722.782258,5141.130645,3780.245161,2817.540323,9380.040323,1416.330645,2555.443548,2021.169355,1406.25,6794.351613,2011.08871,1708.669355,4223.790323,10312.50323,4455.646774,1244.959677,2247.983871
80,199808,1998,08,35802.08667,2015.625,10411.465,7489.588333,4447.915,5812.496667,5437.501667,3364.585,19317.70667,6776.036667,1953.125,1625,9885.415,119.7916667,276.0416667,463.5416667,2828.123333,6015.625,4114.583333,2833.333333,4317.708333,10682.295,7708.333333,4046.875,4447.918333
81,199809,1998,09,16739.58833,723.9583333,13359.38167,8515.631667,3875,4145.831667,5718.75,1843.75,18671.875,7468.746667,3942.706667,3119.79,10755.20833,968.75,3546.875,796.875,4718.748333,6864.581667,1119.791667,703.125,4046.875,6791.661667,5328.128333,3885.416667,5239.585
82,199810,1998,10,17948.58065,8049.396774,12605.85161,10211.69839,4143.145161,5055.441935,6043.346774,9122.980645,22263.10484,7026.206452,7268.148387,3099.798387,17424.40323,987.9032258,6134.069355,1265.120968,544.3548387,6794.354839,4319.556452,4027.217742,8135.079032,24153.21129,11789.31129,9102.819355,2646.169355
83,199811,1998,11,8733.853448,11320.05,13049.56552,6815.731034,7020.472414,6244.615517,11099.14483,9024.784483,6298.493103,9073.286207,17112.06207,1379.310345,24234.91724,2031.25,3863.144828,8464.436207,18949.36207,7990.298276,3787.715517,5377.155172,9520.475862,16379.30172,7246.767241,8383.622414,2957.974138
84,199812,1998,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,199901,1999,01,86.20689655,32.32758621,0,0,9121.777586,490.3017241,549.5672414,3604.525862,959.0517241,0,0,0,0,32.32758621,220.9051724,0,18663.79828,2478.448276,0,0,0,10.77586207,3254.313793,3383.62069,0
86,199902,1999,02,1384.698276,0,0,0,1336.206897,301.7241379,457.9758621,0,0,96.98275862,0,0,0,16.1637931,0,0,23313.56207,0,0,344.8275862,0,43.10344828,0,0,0
87,199903,1999,03,14178.43065,3790.322581,1547.379032,0,70.56451613,413.3064516,3382.056452,473.7903226,1224.8,1310.482258,1421.370968,2091.737097,3205.646774,0,0,0,4480.85,90.72580645,403.2258065,1713.709677,3513.106452,6910.285484,6562.504839,3326.614516,3523.18871
88,199904,1999,04,30302.06333,1427.083333,10895.84,3473.958333,984.375,6572.921667,8458.336667,2000,10755.20167,7687.505,6250.006667,6989.583333,13182.28833,2281.251667,3057.288333,614.5833333,1864.583333,177.0833333,822.9166667,1359.375,4515.623333,13177.08333,6354.163333,2572.916667,3406.248333
89,199905,1999,05,18104.84194,1557.459677,7379.033871,5493.948387,2963.708065,8422.382258,10761.0871,2832.66129,5433.466129,4989.920968,3755.041935,4778.225806,7711.695161,1814.516129,6542.33871,3462.701613,1068.548387,1955.645161,2726.814516,1421.370968,2626.008065,7686.495161,5700.606452,1930.443548,2253.024194
90,199906,1999,06,15020.83167,1161.458333,13010.42,10942.70667,6473.956667,9135.416667,7161.463333,2666.666667,14416.66833,9135.413333,9692.708333,2307.291667,15552.08167,781.25,5531.25,6552.076667,1098.958333,3322.916667,3067.708333,1442.708333,1260.416667,11661.45833,7989.581667,3166.666667,4385.415
91,199907,1999,07,11224.80484,2535.282258,7666.325806,6653.225806,307.4596774,3497.982258,4082.66129,211.6935484,13629.02581,6113.912903,4259.074194,2691.532258,10231.85323,3790.319355,3644.15,2121.975806,549.3951613,5791.333871,1386.08871,413.3064516,1628.024194,8906.246774,5756.046774,2399.193548,6290.324194
